volume,chapter,day,title,url
5,7,4,로마서 9-11장,https://www.youtube.com/watch?v=wiKsSOALXI4
5,7,5,로마서 12-14장,https://www.youtube.com/watch?v=fKQq17CkZxY
5,7,6,로마서 15-16장,https://www.youtube.com/watch?v=lJ3d35qUNco
6,1,1,고린도전서 1-4장,https://www.youtube.com/watch?v=bwJKUVMkeBY
6,1,2,고린도전서 5-8장,https://www.youtube.com/watch?v=R6oO73_leUo
6,1,3,고린도전서 9-12장,https://www.youtube.com/watch?v=UfFj8mucrWY
6,1,4,고린도전서 13-16장,https://www.youtube.com/watch?v=Y3aWssyHWD0
6,1,5,고린도후서 1-3장,https://www.youtube.com/watch?v=i8UT_qVa1zU
6,1,6,고린도후서 4-6장,https://www.youtube.com/watch?v=Y8OkR-Lhogs
6,2,1,고린도후서 7-9장,https://www.youtube.com/watch?v=CXn-S993CMo
6,2,2,고린도후서 10-13장,https://www.youtube.com/watch?v=1tyqxbo59cA
6,2,3,갈라디아서 1-6장,https://www.youtube.com/watch?v=FfAXSKCSOho
6,2,4,에베소서 1-3장,https://www.youtube.com/watch?v=8xkHZcoOC6A
6,2,5,에베소서 4-6장,https://www.youtube.com/watch?v=61UAt8wOGgw
6,2,6,빌립보서 1-4장,https://www.youtube.com/watch?v=7DBVGiGtX_c
6,3,1,골로새서 1-4장,https://www.youtube.com/watch?v=r3tUIl-BsjM
6,3,2,데살로니가전서 1-5장,https://www.youtube.com/watch?v=9gFYfA5wpoA
6,3,3,데살로니가후서 1-3장,https://www.youtube.com/watch?v=DNXNmGFS-wE
6,3,4,디모데전서 1-6장,https://www.youtube.com/watch?v=vpmjgzwTBfA
6,3,5,디모데후서 1-4장,https://www.youtube.com/watch?v=-8-6Q7SFl-Y
6,3,6,디도서 1-3장 · 빌레몬서 1장,https://www.youtube.com/watch?v=kRLZJHZVanU
6,4,1,히브리서 1-3장,https://www.youtube.com/watch?v=agTY7-xNSO4
6,4,2,히브리서 4-6장,https://www.youtube.com/watch?v=2jaQj22u9lI
6,4,3,히브리서 7-9장,https://www.youtube.com/watch?v=ajSFL3_ajrU
6,4,4,히브리서 10-13장,https://www.youtube.com/watch?v=wSWzAufJvEk
6,4,5,야고보서 1-3장,https://www.youtube.com/watch?v=PAq7E72ycLE
6,4,6,야고보서 4-5장,https://www.youtube.com/watch?v=WTguKGFI3qM
6,5,1,베드로전서 1-5장,https://www.youtube.com/watch?v=mSKi4eyTmIE
6,5,2,베드로후서 1-3장,https://www.youtube.com/watch?v=xOo0-cEQ1oY
6,5,3,요한일서 1-3장,https://www.youtube.com/watch?v=_mHynj50bGY
6,5,4,요한일서 4-5장,https://www.youtube.com/watch?v=OIelTSvF-WU
6,5,5,요한이서 1장 · 요한삼서 1장,https://www.youtube.com/watch?v=B2QsQvhZHoM
6,5,6,유다서 1장,https://www.youtube.com/watch?v=GsVozmA1vFU
6,6,1,요한계시록 1장,https://www.youtube.com/watch?v=05jma4atSKc
6,6,2,요한계시록 2-3장,https://www.youtube.com/watch?v=8mSiKwEL8YQ
6,6,3,요한계시록 4-5장,https://www.youtube.com/watch?v=EaprKEP7ISY
6,6,4,요한계시록 6-7장,https://www.youtube.com/watch?v=GYT8b2zTONw
6,6,5,요한계시록 8-9장,https://www.youtube.com/watch?v=e3VgIQW8lic
6,6,6,요한계시록 10-11장,https://www.youtube.com/watch?v=iL_pCrezCcE
6,7,1,요한계시록 12-13장,https://www.youtube.com/watch?v=0RC88Z6thWk
6,7,2,요한계시록 14-15장,https://www.youtube.com/watch?v=BGalmVwkYiM
6,7,3,요한계시록 16-17장,https://www.youtube.com/watch?v=DoTn90cZCWg
6,7,4,요한계시록 18-19장,https://www.youtube.com/watch?v=7I3wqAKwnIg
6,7,5,요한계시록 20-21장,https://www.youtube.com/watch?v=y3HsExGTcWo
6,7,6,요한계시록 22장,https://www.youtube.com/watch?v=urNbAm_yuvY
